combination_key,combination_size,actions,categories,overfit_penalty,rank_score,temporal_folds_evaluated,temporal_pass_folds,temporal_stability,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,avg_winner,avg_loser,trade_coverage,net_pnl_delta,profit_factor_delta,expectancy_delta,max_drawdown_delta,baseline_trades,baseline_net_pnl,baseline_expectancy,baseline_profit_factor,baseline_win_rate,baseline_max_drawdown,baseline_avg_winner,baseline_avg_loser,expectancy_lift,expectancy_lift_ci_low,expectancy_lift_ci_high,p_value_approx,statistically_acceptable
all:min_confidence_0.4358+avoid:ce:mixed,2,all require quality confidence >= 0.4358 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,5.946178121402788,4,4,True,15202,532877.2500000063,1.233960056057979,0.5189448756742534,35.05310156558389,-101013.74999999837,356.2579858030172,-311.4511144537121,0.2279433815150243,3300996.374999999,0.5017793920189341,76.55911615503979,2667247.499999999,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,76.55911615503979,69.14593088879685,83.97230142128272,4.19960077240517e-91,True
all:min_confidence_0.4358+ce:min_confidence_0.4358+avoid:ce:mixed,3,all require quality confidence >= 0.4358 | ce require quality confidence >= 0.4358 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,5.946178121402788,4,4,True,15202,532877.2500000063,1.233960056057979,0.5189448756742534,35.05310156558389,-101013.74999999837,356.2579858030172,-311.4511144537121,0.2279433815150243,3300996.374999999,0.5017793920189341,76.55911615503979,2667247.499999999,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,76.55911615503979,69.14593088879685,83.97230142128272,4.19960077240517e-91,True
ce:min_confidence_0.4358+pe:min_directional_confidence_0.4645,2,ce require quality confidence >= 0.4358 | pe require directional confidence >= 0.4645,minimum_confidence,0.0,5.943908974477338,4,4,True,18405,597913.8750000078,1.2131385134254529,0.5169247487095898,32.48649144254321,-107394.00000000006,357.70412024385155,-315.5194157012705,0.27597013135008697,3366033.000000001,0.48095784938640784,73.99250603199911,2660867.249999997,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,73.99250603199911,67.11865966940992,80.8663523945883,8.274231661124577e-99,True
ce:min_confidence_0.4358+pe:min_directional_confidence_0.4645+pe:min_directional_confidence_0.4607,3,ce require quality confidence >= 0.4358 | pe require directional confidence >= 0.4645 | pe require directional confidence >= 0.4607,minimum_confidence,0.0,5.943908974477338,4,4,True,18405,597913.8750000078,1.2131385134254529,0.5169247487095898,32.48649144254321,-107394.00000000006,357.70412024385155,-315.5194157012705,0.27597013135008697,3366033.000000001,0.48095784938640784,73.99250603199911,2660867.249999997,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,73.99250603199911,67.11865966940992,80.8663523945883,8.274231661124577e-99,True
ce:min_confidence_0.4358+pe:min_directional_confidence_0.4645+pe:min_directional_confidence_0.4468,3,ce require quality confidence >= 0.4358 | pe require directional confidence >= 0.4645 | pe require directional confidence >= 0.4468,minimum_confidence,0.0,5.943908974477338,4,4,True,18405,597913.8750000078,1.2131385134254529,0.5169247487095898,32.48649144254321,-107394.00000000006,357.70412024385155,-315.5194157012705,0.27597013135008697,3366033.000000001,0.48095784938640784,73.99250603199911,2660867.249999997,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,73.99250603199911,67.11865966940992,80.8663523945883,8.274231661124577e-99,True
all:min_confidence_0.4358+pe:min_confidence_0.4519+avoid:ce:mixed,3,all require quality confidence >= 0.4358 | pe require quality confidence >= 0.4519 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,5.942956411072742,4,4,True,15200,531928.8750000064,1.2335436714812982,0.5188815789473684,34.995320723684635,-101013.74999999837,356.2280810193993,-311.4511144537121,0.22791339291069393,3300047.9999999995,0.5013630074422532,76.50133531314054,2667247.499999999,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,76.50133531314054,69.08796200365734,83.91470862262375,5.784937941939666e-91,True
ce:min_confidence_0.4358+pe:min_confidence_0.4519+avoid:ce:mixed,3,ce require quality confidence >= 0.4358 | pe require quality confidence >= 0.4519 | Reduce or disable ce trades in mixed,avoid_weak_segment|minimum_confidence,0.0,5.942956411072742,4,4,True,15200,531928.8750000064,1.2335436714812982,0.5188815789473684,34.995320723684635,-101013.74999999837,356.2280810193993,-311.4511144537121,0.22791339291069393,3300047.9999999995,0.5013630074422532,76.50133531314054,2667247.499999999,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,76.50133531314054,69.08796200365734,83.91470862262375,5.784937941939666e-91,True
all:min_confidence_0.4358+pe:min_directional_confidence_0.4607+avoid:all:range,3,all require quality confidence >= 0.4358 | pe require directional confidence >= 0.4607 | Reduce or disable all trades in range,avoid_weak_segment|minimum_confidence,0.0,5.932914658750284,4,4,True,14295,509158.8750000076,1.2349582909003165,0.5197621545995104,35.61796956978018,-86600.62499999977,360.18532974428047,-315.6617807720315,0.21434354945120854,3277278.0000000005,0.5027776268612715,77.12398415923607,2681660.624999997,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,77.12398415923607,69.47379464092725,84.7741736775449,6.661673679429733e-87,True
all:min_confidence_0.4358+pe:min_directional_confidence_0.4468+avoid:all:range,3,all require quality confidence >= 0.4358 | pe require directional confidence >= 0.4468 | Reduce or disable all trades in range,avoid_weak_segment|minimum_confidence,0.0,5.918085030588628,4,4,True,14446,508287.0000000079,1.2322305583459119,0.5191748580922054,35.18531081268226,-87584.99999999988,359.60055000000045,-315.1046825511079,0.2166076890781503,3276406.125000001,0.5000498943068669,76.69132540213816,2680676.249999997,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,76.69132540213816,69.0875455744404,84.29510522983593,5.565166594991254e-87,True
all:min_confidence_0.4358+avoid:ce:mixed+avoid:ce:low_volatility,3,all require quality confidence >= 0.4358 | Reduce or disable ce trades in mixed | Reduce or disable ce trades in Low Volatility,avoid_weak_segment|minimum_confidence,0.0,5.915757201288601,4,4,True,15042,522136.12500000594,1.2306989914521165,0.5182156628107965,34.71188173115317,-101837.99999999814,357.3335311096859,-312.30560921760673,0.22554429316859592,3290255.249999999,0.49851832741307145,76.21789632060907,2666423.249999999,66692,-2768119.124999993,-41.5060145894559,0.732180664039045,0.39701913272956274,-2768261.249999997,285.8090159755271,-257.0192035112149,76.21789632060907,68.7525362383056,83.68325640291255,4.44369811428507e-89,True
