model,target,status,rows,train_rows,calibration_rows,test_rows,auc,pr_auc,average_precision,calibration,ece,brier,threshold,precision,recall,trade_count,selected_positives,expectancy,profit_factor,max_drawdown,net_pnl
xgboost,target_hit_ce,ok,150000,105000,22500,22500,0.6257711805632812,0.5306833473524876,0.5306833473524876,isotonic_time_split,0.01571192540427048,0.23465968985025182,0.6069363951683044,0.6317204301075269,0.024171981073853117,372,235,234.2822580645151,1.6236679753224872,-54837.00000000099,87152.99999999962
xgboost,target_hit_pe,ok,150000,105000,22500,22500,0.5836050111333099,0.5039090093243818,0.5039090093243818,isotonic_time_split,0.011750599707166368,0.24194332653153988,0.6292682886123657,0.6241758241758242,0.028762406319627305,455,284,206.63489010989102,1.7827323530330028,-32352.375000000386,94018.87500000041
xgboost,stop_hit_ce,ok,150000,105000,22500,22500,0.6517217736017593,0.31051139960338814,0.31051139960338814,isotonic_time_split,0.026818599441150823,0.15344956511313973,0.43681085109710693,0.4404655326768129,0.10952804986642921,1117,492,168.56333930170092,1.450237855045171,-54971.62499999987,188285.24999999994
xgboost,stop_hit_pe,ok,150000,105000,22500,22500,0.7008058679521915,0.33647978645705134,0.33647978645705134,isotonic_time_split,0.015325540504977118,0.1441914048051542,0.3980582654476166,0.4723275208491281,0.1438466866774417,1319,623,144.16631918119703,1.3249975484870784,-77071.49999999991,190155.37499999886
random_forest,directional_ce,ok,150000,105000,22500,22500,0.6016040548773405,0.4813208802769925,0.4813208802769925,isotonic_time_split,0.017920965908985242,0.23611953013513592,0.45676429567642957,0.48051738075990297,0.6432204306893193,12370,5944,37.58764147130139,1.1974535803949573,-128766.75000000116,464959.12499999814
random_forest,directional_pe,ok,150000,105000,22500,22500,0.5665338028719403,0.45986688841418344,0.45986688841418344,isotonic_time_split,0.017192713013775805,0.24030329412975096,0.48438074237412715,0.4662399711529794,0.5506228042159055,11093,5172,2.872216713243134,1.0150196159748468,-223822.8749999944,31861.50000000609
random_forest,quality_profitable_ce,ok,150000,105000,22500,22500,0.578539789782913,0.46814765565521893,0.46814765565521893,isotonic_time_split,0.018738879225655765,0.23949359807329687,0.43335399876007447,0.47866028708133973,0.536983360171766,10450,5002,57.50099282296671,1.2937982563096484,-121385.99999999942,600885.3750000021
random_forest,quality_profitable_pe,ok,150000,105000,22500,22500,0.5364490082359485,0.4454642064244375,0.4454642064244375,isotonic_time_split,0.016151178648531873,0.24327357368125782,0.4682841274481146,0.4527804157433787,0.45258938930492565,9477,4291,16.917735042735796,1.0844811516206958,-126954.37499999719,160329.37500000713
random_forest,target_hit_ce,ok,150000,105000,22500,22500,0.6306015237372633,0.5414633391874736,0.5414633391874736,isotonic_time_split,0.028596506730949586,0.23414125351697485,0.5938242280285034,0.6297844966227083,0.20139888911746553,3109,1958,199.95738179478985,1.7746526917846974,-64137.00000000006,621667.5000000016
random_forest,target_hit_pe,ok,150000,105000,22500,22500,0.5894342090668737,0.5053420490607358,0.5053420490607358,isotonic_time_split,0.025988426716794383,0.2419663319566007,0.5375531412376001,0.5201504567436862,0.3921409763013976,7444,3872,22.827999059645915,1.102098863204951,-106857.00000000026,169931.6250000042
random_forest,stop_hit_ce,ok,150000,105000,22500,22500,0.6511777824182622,0.3002384651168053,0.3002384651168053,isotonic_time_split,0.03997113526888867,0.1550724162216186,0.4353813559322034,0.3829268292682927,0.24465716829919856,2870,1099,157.27774390243889,1.5514729935153642,-76114.12499999971,451387.1249999996
random_forest,stop_hit_pe,ok,150000,105000,22500,22500,0.7032481306155288,0.333727604725568,0.333727604725568,isotonic_time_split,0.03237952859639725,0.14374257027867782,0.4170471841704718,0.4085417252037089,0.3357192334333872,3559,1454,106.51664793481285,1.3370260438944581,-81028.4999999998,379092.74999999895
mlp,directional_ce,ok,150000,105000,22500,22500,0.5994481606452563,0.4819720323695082,0.4819720323695082,isotonic_time_split,0.017077462689878618,0.2356353054060321,0.5028790786948176,0.5092307692307693,0.03581863434693215,650,331,96.13384615384751,1.4699776902183972,-28058.24999999978,62487.00000000089
mlp,directional_pe,ok,150000,105000,22500,22500,0.5630335240938501,0.4574305675125633,0.4574305675125633,isotonic_time_split,0.03141959855001921,0.24133728585539405,0.5371448134200616,0.4742997008430786,0.18567017992121793,3677,1744,3.1277875985856225,1.013577196649107,-139244.6250000006,11500.874999999334
mlp,quality_profitable_ce,ok,150000,105000,22500,22500,0.5,0.414,0.414,isotonic_time_split,0.03448888888888868,0.2437934834567902,0.37951111111111113,0.414,1.0,22500,9315,-15.214150000000188,0.9144039905403097,-724878.3750000043,-342318.37500000425
mlp,quality_profitable_pe,ok,150000,105000,22500,22500,0.5,0.4213777777777778,0.4213777777777778,isotonic_time_split,0.00919999999999993,0.2439031861728396,0.41217777777777775,0.4213777777777778,1.0,22500,9481,-11.798649999999778,0.9329239393616104,-539936.2499999925,-265469.624999995
mlp,target_hit_ce,ok,150000,105000,22500,22500,0.6207800761627139,0.5269764305843575,0.5269764305843575,isotonic_time_split,0.029323574012704166,0.23592806583725112,0.6,0.6463414634146342,0.04906397860522526,738,477,117.04471544715479,1.5858248812297202,-28517.999999999854,86379.00000000023
