trade_id,date,exit_time,side,entry_price,exit_price,qty,pnl,ml_prob,entry_reason,exit_reason,regime,orb_high,orb_low,held_seconds,max_pnl,stop_loss,target
116,2024-08-07,2024-08-07 09:34:00,CE,24274.9,24285.65,75,785.25,0.5718,ML_CE,Drawdown,RANGE,24275.25,24244.45,120.0,794.9999999998909,24279.9,24333.803846153845
117,2024-08-09,2024-08-09 09:41:00,CE,24373.95,24380.6,75,465.0,0.5612,ML_CE,STOP,RANGE,24377.5,24360.2,180.0,498.7499999998363,24376.61666666667,24422.43076923077
118,2024-08-09,2024-08-09 09:50:00,CE,24374.35,24362.2,75,-984.0,0.5804,ML_CE,TIME_EXIT_WEAK,RANGE,24377.5,24360.2,360.0,0.0,24357.342307692306,24419.026923076923
119,2024-08-16,2024-08-16 09:35:00,CE,24518.1,24540.75,75,1656.0,0.5805,ORB+ML_CE,STOP,RANGE,24518.6,24477.5,240.0,1822.5000000002183,24527.1,24591.97692307692
120,2024-09-12,2024-09-12 09:49:00,CE,25375.2,25371.05,75,-23.25,0.5331,ORB+ML_CE,ML_EDGE_COLLAPSED,TREND,25350.45,25256.8,120.0,0.0,25352.278846153848,25445.763461538463
121,2024-09-19,2024-09-19 09:45:00,CE,25413.4,25424.05,75,717.75,0.5826,ML_CE,STOP,RANGE,25421.5,25388.6,420.0,963.7499999998909,25422.4,25494.407692307694
122,2024-10-07,2024-10-07 09:39:00,CE,24814.65,24801.7,75,-1041.75,0.6092,ML_CE,TIME_EXIT_WEAK,RANGE,24923.2,24793.7,360.0,0.0,24750.31153846154,25029.934615384613
123,2024-10-11,2024-10-11 09:55:00,CE,24962.2,24975.4,75,861.0,0.5808,ML_CE,Drawdown,RANGE,24975.45,24955.2,660.0,1192.4999999998363,24971.2,25020.823076923076
124,2024-10-15,2024-10-15 09:42:00,CE,25058.15,25063.8,75,400.5,0.562,ORB+ML_CE,Drawdown,RANGE,25051.65,25026.85,120.0,461.2499999998363,25060.81666666667,25123.007692307692
125,2024-10-15,2024-10-15 09:56:00,CE,25060.35,25075.35,75,1007.25,0.6029,ORB+ML_CE,Drawdown,RANGE,25051.65,25026.85,600.0,1207.5000000001637,25069.35,25109.40769230769
126,2024-10-15,2024-10-15 09:59:00,CE,25065.65,25064.65,75,-75.0,0.592,ORB+ML_CE,DAY_END,RANGE,25051.65,25026.85,0.0,0.0,25054.61153846154,25102.03461538462
127,2024-10-17,2024-10-17 09:46:00,CE,24760.6,24763.2,75,112.5,0.6003,ORB+ML_CE,STOP,RANGE,24754.4,24730.0,420.0,281.25,24760.6,24815.13076923077
128,2024-10-24,2024-10-24 09:32:00,CE,24406.15,24412.85,75,480.0,0.5678,ML_CE,STOP,RANGE,24407.35,24388.2,120.0,562.5,24411.15,24464.742307692308
129,2024-10-24,2024-10-24 09:37:00,CE,24407.8,24414.1,75,449.25,0.6237,ORB+ML_CE,STOP,RANGE,24407.35,24388.2,120.0,438.7500000001637,24410.466666666667,24463.39615384615
130,2024-10-24,2024-10-24 09:51:00,CE,24405.5,24400.05,75,-456.0,0.5946,ML_CE,RANGE_DAY_FAST_EXIT,RANGE,24407.35,24388.2,240.0,0.0,24388.05769230769,24461.823076923076
131,2024-10-25,2024-10-25 09:36:00,CE,24151.35,24137.55,75,-171.0,0.5921,ML_CE,TIME_EXIT_WEAK,RANGE,24155.55,24091.05,360.0,0.0,24119.71538461538,24259.59615384616
132,2024-10-31,2024-10-31 09:38:00,CE,24202.95,24202.4,75,-64.5,0.6034,ML_CE,STOP,RANGE,24225.25,24187.3,120.0,187.5,24202.95,24256.315384615387
133,2024-11-01,2024-11-01 12:34:00,PE,24332.4,24350.8,75,-1368.75,0.6119,ML_PE,Drawdown,RANGE,,,180.0,1361.2499999998363,24341.4,24449.596153846152
134,2024-11-07,2024-11-07 09:45:00,CE,24203.7,24198.05,75,-348.0,0.564,ML_CE,TIME_EXIT_WEAK,RANGE,24204.6,24180.4,360.0,0.0,24187.526923076926,24253.330769230768
135,2024-11-08,2024-11-08 09:36:00,CE,24166.6,24148.35,75,-1315.5,0.6069,ML_CE,TIME_EXIT_WEAK,RANGE,24171.8,24145.85,360.0,0.0,24146.111538461537,24220.98461538462
136,2024-11-11,2024-11-11 09:36:00,CE,24125.1,24146.05,75,-57.75,0.5923,ML_CE,Drawdown,RANGE,24204.0,24163.3,300.0,1612.5,24134.1,24217.51153846154
137,2024-11-13,2024-11-13 09:59:00,CE,23603.4,23602.4,75,-75.0,0.5904,ORB+ML_CE,DAY_END,RANGE,23586.75,23545.5,0.0,0.0,23586.907692307694,23658.873076923075
138,2024-11-14,2024-11-14 09:52:00,CE,23541.8,23551.2,75,-5.25,0.6157,ORB+ML_CE,STOP,RANGE,23538.75,23520.65,480.0,697.4999999999454,23546.8,23652.069230769237
139,2024-11-18,2024-11-18 09:44:00,CE,23445.45,23456.75,75,435.75,0.6123,ML_CE,STOP,RANGE,23475.75,23429.45,360.0,967.4999999998363,23454.45,23511.834615384614
140,2024-11-18,2024-11-18 09:50:00,CE,23474.25,23462.4,75,-926.25,0.6576,ML_CE,STOP,RANGE,23475.75,23429.45,180.0,0.0,23458.350000000002,23530.8
141,2024-11-19,2024-11-19 09:38:00,CE,23547.85,23556.8,75,463.5,0.6225,ML_CE,Drawdown,RANGE,23717.45,23576.3,240.0,768.75,23552.85,23701.14230769231
142,2024-11-19,2024-11-19 09:47:00,CE,23508.05,23513.6,75,345.75,0.6245,ML_CE,STOP,RANGE,23717.45,23576.3,360.0,345.0000000001637,23510.716666666667,23658.94230769231
143,2024-11-19,2024-11-19 09:53:00,CE,23499.65,23502.0,75,114.0,0.6712,ML_CE,STOP,TREND,23717.45,23576.3,180.0,359.99999999994543,23502.31666666667,23575.161538461536
