trade_idx,check_bar,eqs,action,actual_pnl,outcome
309,3,65.0,Trail,-276.74999999999454,loss
310,3,48.0,ScaleOut,56.249999999989086,win
311,3,45.0,ScaleOut,-271.12499999999454,loss
312,3,45.0,ScaleOut,-57.749999999989086,loss
313,3,48.0,ScaleOut,-163.50000000000546,loss
314,3,33.0,ScaleOut,38.99999999999454,win
315,3,70.0,Hold,-260.2499999999891,loss
316,3,40.0,ScaleOut,43.500000000010914,win
317,3,70.0,Hold,-264.75000000000546,loss
318,3,63.0,Trail,-26.999999999972715,loss
319,3,50.0,Trail,-220.50000000002183,loss
320,3,38.0,ScaleOut,-96.75000000002184,loss
321,3,70.0,Hold,-150.74999999997272,loss
322,3,25.0,Exit,-103.50000000000546,loss
323,3,73.0,Hold,-143.9999999999891,loss
324,3,55.0,Trail,-144.7499999999509,loss
325,3,53.0,Trail,-88.50000000003274,loss
326,3,63.0,Trail,-117.75000000001636,loss
327,3,50.0,Trail,-109.87499999996726,loss
328,3,25.0,Exit,-13.875000000027285,loss
329,3,73.0,Hold,-197.24999999997817,loss
330,3,45.0,ScaleOut,-57.750000000043656,loss
331,3,58.0,Trail,-153.3749999999618,loss
332,3,45.0,ScaleOut,-165.75000000002728,loss
333,3,65.0,Trail,-45.37499999997817,loss
334,3,58.0,Trail,19.874999999972715,win
335,3,50.0,Trail,-230.99999999997817,loss
336,3,43.0,ScaleOut,63.749999999989086,win
337,3,70.0,Hold,-274.87499999999454,loss
338,3,63.0,Trail,-37.12500000001637,loss
339,3,50.0,Trail,-101.24999999998364,loss
340,3,63.0,Trail,-102.37500000002184,loss
341,3,50.0,Trail,-31.49999999998909,loss
342,3,70.0,Hold,-127.50000000001091,loss
343,3,50.0,Trail,23.250000000005457,win
344,3,50.0,Trail,-160.125,loss
345,3,70.0,Hold,64.875,win
346,3,85.0,Hold,-208.50000000003277,loss
347,3,35.0,ScaleOut,113.25000000003274,win
348,3,53.0,Trail,-324.3750000000655,loss
349,3,55.0,Trail,229.12500000006548,win
350,3,53.0,Trail,-341.2500000000655,loss
351,3,55.0,Trail,246.00000000006548,win
352,3,50.0,Trail,-390.75,loss
353,3,63.0,Trail,295.5,win
354,3,70.0,Hold,-385.125,loss
