comparison,feature,psi,train_mean,comparison_mean,mean_delta,train_std,comparison_std
train_vs_holdout,trend_strength,0.014901182711657147,2.1971456549607984e-05,-1.1041738264542345e-05,-3.301319481415033e-05,0.0008078393327254545,0.0008304325997731984
train_vs_holdout,hour,1.2952433602357581e-06,11.881959388193112,11.880669297053352,-0.0012900911397597525,1.8452848256072418,1.839948860987981
train_vs_holdout,weekday,0.0017031109880743635,2.004490429559921,2.0126812789485493,0.00819084938862824,1.4201485044242712,1.4560813088620148
train_vs_holdout,return_1,0.0070222660235948284,1.6573447070867858e-06,-4.948721105164009e-07,-2.152216817603187e-06,0.0004419417138788656,0.00045729242449373155
train_vs_holdout,return_3,0.006344681216842707,4.978079919089263e-06,-1.4876008515805051e-06,-6.4656807706697685e-06,0.0007743979226044886,0.0007973206738948491
train_vs_holdout,candle_body_pct,0.007728236154745008,0.5195978693835334,0.5004847007230588,-0.019113168660474522,0.27904143508826473,0.27364152477544246
train_vs_holdout,range_break_strength,0.00039684983720338703,-1.6860251428792603,-1.6888450447515835,-0.0028199018723231717,1.2935123006487133,1.2881165031575081
train_vs_holdout,mins_since_open,4.459629490668064e-06,187.02080923874777,187.04047188609283,0.01966264734505785,108.31277523531212,108.24938930209295
train_vs_holdout,mins_to_close,4.5356480307430785e-06,187.97919076125223,187.95952811390717,-0.01966264734505785,108.31277523531212,108.24938930209295
train_vs_holdout,session_open,3.440938892092316e-07,0.0801264559256421,0.07996727411884245,-0.00015918180679964922,0.2714888708334805,0.2712425283557952
train_vs_holdout,session_close,8.332641317059131e-07,0.1576146430985095,0.15728216835354508,-0.00033247474496442275,0.36437929054686824,0.3640665981267056
train_vs_holdout,time_to_expiry_min,4.5356480307430785e-06,187.97919076125223,187.95952811390717,-0.01966264734505785,108.31277523531212,108.24938930209295
train_vs_holdout,moneyness,0.009423186903739552,1.387847287556227e-05,-7.147142674793612e-06,-2.102561555035588e-05,0.0009528039181398164,0.0009697718251641743
train_vs_holdout,momentum_velocity,0.00687523247455055,7.363063724156123e-10,8.252608898197193e-10,8.895451740410702e-11,0.0006183604271762887,0.0006426181177938948
train_vs_holdout,range_compression,0.0022090002926789974,0.5756998485432746,0.5799915176839467,0.0042916691406721386,0.1985702623581385,0.2038150489402958
train_vs_holdout,wick_ratio,0.008254289917904565,2.099475448923706,2.230118619835184,0.13064317091147792,2.8487343606400004,2.9114790000240265
train_vs_holdout,body_efficiency,0.007728236154745008,0.5195978693835334,0.5004847007230588,-0.019113168660474522,0.27904143508826473,0.27364152477544246
train_vs_holdout,mom3_strength,0.007394206991012172,0.00044101538459990054,0.00040438921786080444,-3.662616673909611e-05,0.0006365707771803778,0.0006871621573212227
train_vs_holdout,upper_wick,0.01371427254579913,0.21077877325427707,0.21910841219502178,0.008329638940744705,0.20548842973426606,0.20842512457475543
train_vs_holdout,lower_wick,0.02171072301637549,0.2113477457497427,0.2243378272602872,0.01299008151054451,0.21400052739155703,0.20953308426762518
train_vs_holdout,close_position,0.010877367760888965,0.5015396492933005,0.49670632213767413,-0.004833327155626399,0.33257732219204383,0.32300778040748535
train_vs_walkforward,supertrend_dir,0.0008757627242868221,0.08018018272768146,0.05065137634833806,-0.0295288063793434,0.9967803861923425,0.9987163952163893
train_vs_walkforward,supertrend_dist,0.0032684049682527175,5.9650158683589285e-05,3.098925430702151e-05,-2.8660904376567775e-05,0.0011905764118714825,0.0011494045856368295
train_vs_walkforward,price_vs_vwap,0.0019292767769033441,-5.485979160019916e-05,-2.3758112314910765e-05,3.110167928528839e-05,0.002667604704930044,0.002529481815433138
train_vs_walkforward,adx,0.00015398813621176588,25.108583089680117,25.193416422489587,0.08483333280947036,10.553882370079142,10.606260370485934
train_vs_walkforward,di_spread,0.0006352618601865877,0.23917294482987858,0.06384484732742406,-0.17532809750245454,15.836853888025942,15.619287332464651
train_vs_walkforward,ema_alignment,0.0008988428387764274,0.08562638381861831,0.05572178650673345,-0.029904597311884863,0.996327316896484,0.9984463343157197
train_vs_walkforward,volume_ratio,0.0,1.0,1.0,0.0,0.0,0.0
train_vs_walkforward,ema20,0.9155645554683021,18680.51877558241,21015.678839859636,2335.1600642772246,2907.0999748696954,3338.7750660518595
train_vs_walkforward,ema50,0.9371162470935336,18680.078969537608,21015.41116072913,2335.3321911915227,2906.936005440749,3338.772168941186
train_vs_walkforward,macd,0.005254363112787188,0.439806044802754,0.2676791305021189,-0.1721269143006351,14.603121634407293,16.334232120371748
train_vs_walkforward,returns,0.002161285052768664,1.6573447070867858e-06,1.0075462918708015e-06,-6.497984152159843e-07,0.0004419417138788656,0.00043104346066178225
train_vs_walkforward,volatility,0.007195250392302741,0.00033147219637056583,0.00031635087734643126,-1.5121319024134577e-05,0.00029176224854909677,0.00029232277763270847
train_vs_walkforward,rsi,0.0005614647653291816,50.823121049073364,50.60099580019357,-0.22212524887979157,12.384938910366095,12.448170870945127
train_vs_walkforward,atr,0.04970027465442124,7.725524204362884,8.461501190791104,0.73597698642822,3.9469142865962206,4.307156239226564
train_vs_walkforward,trend_strength,0.00290089856470683,2.1971456549607984e-05,1.2203265330515798e-05,-9.768191219092186e-06,0.0008078393327254545,0.0007884743074356851
train_vs_walkforward,hour,4.5640734294295873e-07,11.881959388193112,11.883002702168325,0.0010433139752130671,1.8452848256072418,1.845023250013421
train_vs_walkforward,weekday,2.3041179629702285e-05,2.004490429559921,2.0012368461521564,-0.0032535834077647152,1.4201485044242712,1.4230902131074732
train_vs_walkforward,return_1,0.002161285052768664,1.6573447070867858e-06,1.0075462918708015e-06,-6.497984152159843e-07,0.0004419417138788656,0.00043104346066178225
train_vs_walkforward,return_3,0.0020514787553254496,4.978079919089263e-06,3.02616994631481e-06,-1.9519099727744533e-06,0.0007743979226044886,0.0007552501346717495
train_vs_walkforward,candle_body_pct,0.0017272755108348838,0.5195978693835334,0.5093736102977561,-0.010224259085777287,0.27904143508826473,0.2770088599580898
train_vs_walkforward,range_break_strength,0.00010300553647421254,-1.6860251428792603,-1.6785006785270304,0.007524464352229865,1.2935123006487133,1.2846528556465469
train_vs_walkforward,mins_since_open,4.939914724755019e-07,187.02080923874777,187.08048067839803,0.05967143965025912,108.31277523531212,108.29616092716834
train_vs_walkforward,mins_to_close,4.956399408984091e-07,187.97919076125223,187.91951932160197,-0.05967143965025912,108.31277523531212,108.29616092716834
train_vs_walkforward,session_open,1.8240270718110953e-07,0.0801264559256421,0.08001054504712318,-0.00011591087851892112,0.2714888708334805,0.27130952384386636
train_vs_walkforward,session_close,7.527141601665904e-09,0.1576146430985095,0.1576462576067137,3.161450820418632e-05,0.36437929054686824,0.36440899422120654
train_vs_walkforward,time_to_expiry_min,4.956399408984091e-07,187.97919076125223,187.91951932160197,-0.05967143965025912,108.31277523531212,108.29616092716834
train_vs_walkforward,moneyness,0.002055563157126874,1.387847287556227e-05,7.853684804477714e-06,-6.024788071084556e-06,0.0009528039181398164,0.0009228206800991279
train_vs_walkforward,momentum_velocity,0.002154477358911112,7.363063724156123e-10,8.64397904308815e-10,1.280915318932027e-10,0.0006183604271762887,0.000603274231799557
train_vs_walkforward,range_compression,0.0002676963919067883,0.5756998485432746,0.5777224064603844,0.002022557917109813,0.1985702623581385,0.20007750180187805
train_vs_walkforward,wick_ratio,0.0017706372422674603,2.099475448923706,2.1696527101759804,0.07017726125227419,2.8487343606400004,2.883524562053335
train_vs_walkforward,body_efficiency,0.0017272755108348838,0.5195978693835334,0.5093736102977561,-0.010224259085777287,0.27904143508826473,0.2770088599580898
train_vs_walkforward,mom3_strength,0.0022143605704170377,0.00044101538459990054,0.0004194060437575701,-2.160934084233045e-05,0.0006365707771803778,0.0006281007037775574
