entry_ts,exit_ts,side,ml_prob,conf_bucket,orb_state,regime,hour_bucket,hold_secs,exit_reason,entry_prem,exit_prem,entry_spot,gross_rs,cost_rs,net_rs,label_correct
2024-01-24 14:00:00,2024-01-24 14:02:00,CE,0.6548,0.60-0.70,POST_ORB,RANGE,14:00-15:00,120.0,Stop Loss,56.05,57.23,21317.1,76.7,66.0,10.7,1
2024-01-24 15:01:00,2024-01-24 15:02:00,CE,0.6218,0.60-0.70,POST_ORB,TREND,15:00+,60.0,Stop Loss,32.03,19.93,21443.75,-786.5,66.0,-852.5,0
2024-01-25 09:36:00,2024-01-25 09:39:00,CE,0.7071,0.70-0.80,POST_ORB,TREND,09:15-10:00,180.0,Stop Loss,110.67,104.5,21407.85,-401.05,66.0,-467.05,0
2024-01-25 14:07:00,2024-01-25 14:13:00,CE,0.5532,0.50-0.60,POST_ORB,TREND,14:00-15:00,360.0,Stop Loss,53.85,47.53,21292.6,-410.8,66.0,-476.8,0
2024-01-25 15:03:00,2024-01-25 15:10:00,CE,0.6986,0.60-0.70,POST_ORB,RANGE,15:00+,420.0,Drawdown,30.93,37.81,21316.15,447.2,66.0,381.2,1
2024-01-29 09:40:00,2024-01-29 09:42:00,CE,0.6093,0.60-0.70,POST_ORB,TREND,09:15-10:00,120.0,Stop Loss,110.04,106.83,21544.3,-208.65,66.0,-274.65,1
2024-01-29 10:08:00,2024-01-29 10:11:00,CE,0.5835,0.50-0.60,POST_ORB,TREND,10:00-11:00,180.0,Stop Loss,105.57,98.98,21567.0,-428.35,66.0,-494.35,1
2024-01-29 10:28:00,2024-01-29 10:30:00,CE,0.5667,0.50-0.60,POST_ORB,TREND,10:00-11:00,120.0,Stop Loss,102.26,97.34,21582.25,-319.8,66.0,-385.8,1
2024-01-29 10:35:00,2024-01-29 10:41:00,CE,0.5505,0.50-0.60,POST_ORB,RANGE,10:00-11:00,360.0,TARGET_HIT,101.07,116.09,21580.75,976.3,66.0,910.3,1
2024-01-29 14:12:00,2024-01-29 14:14:00,CE,0.5427,0.50-0.60,POST_ORB,TREND,14:00-15:00,120.0,Stop Loss,52.21,46.67,21728.75,-360.1,66.0,-426.1,0
2024-01-29 14:20:00,2024-01-29 14:26:00,CE,0.5949,0.50-0.60,POST_ORB,RANGE,14:00-15:00,360.0,TIME_EXIT_WEAK,49.49,48.27,21724.2,-79.3,66.0,-145.3,0
2024-01-30 09:30:00,2024-01-30 09:34:00,CE,0.7796,0.70-0.80,ORB,RANGE,09:15-10:00,240.0,Stop Loss,111.6,100.45,21732.0,-724.75,66.0,-790.75,1
2024-01-30 10:44:00,2024-01-30 10:47:00,CE,0.5957,0.50-0.60,POST_ORB,RANGE,10:00-11:00,180.0,Stop Loss,99.52,94.28,21717.25,-340.6,66.0,-406.6,0
2024-01-30 14:31:00,2024-01-30 14:32:00,PE,0.7793,0.70-0.80,POST_ORB,TREND,14:00-15:00,60.0,Stop Loss,45.48,37.64,21586.85,-509.6,66.0,-575.6,0
2024-01-30 14:44:00,2024-01-30 14:47:00,PE,0.7115,0.70-0.80,POST_ORB,TREND,14:00-15:00,180.0,Stop Loss,40.21,33.82,21566.1,-415.35,66.0,-481.35,1
2024-01-30 14:53:00,2024-01-30 14:56:00,PE,0.7845,0.70-0.80,POST_ORB,TREND,14:00-15:00,180.0,Stop Loss,36.12,36.54,21558.0,27.3,66.0,-38.7,1
2024-01-30 15:01:00,2024-01-30 15:02:00,PE,0.8694,0.80+,POST_ORB,TREND,15:00+,60.0,Stop Loss,32.03,23.68,21513.5,-542.75,66.0,-608.75,0
2024-01-31 10:04:00,2024-01-31 10:11:00,CE,0.6609,0.60-0.70,POST_ORB,RANGE,10:00-11:00,420.0,Stop Loss,106.22,115.33,21568.95,592.15,66.0,526.15,1
2024-01-31 14:22:00,2024-01-31 14:23:00,CE,0.5416,0.50-0.60,POST_ORB,RANGE,14:00-15:00,60.0,Stop Loss,48.78,42.93,21681.75,-380.25,66.0,-446.25,0
2024-01-31 14:52:00,2024-01-31 14:55:00,CE,0.6795,0.60-0.70,POST_ORB,RANGE,14:00-15:00,180.0,Stop Loss,36.6,31.24,21687.6,-348.4,66.0,-414.4,1
2024-01-31 15:01:00,2024-01-31 15:08:00,CE,0.6274,0.60-0.70,POST_ORB,RANGE,15:00+,420.0,Stop Loss,32.03,33.64,21708.0,104.65,66.0,38.65,1
2024-02-01 09:32:00,2024-02-01 09:35:00,CE,0.6887,0.60-0.70,POST_ORB,RANGE,09:15-10:00,180.0,Stop Loss,111.29,105.57,21735.8,-371.8,66.0,-437.8,0
2024-02-01 09:41:00,2024-02-01 09:43:00,CE,0.6829,0.60-0.70,POST_ORB,RANGE,09:15-10:00,120.0,Stop Loss,109.89,107.72,21733.65,-141.05,66.0,-207.05,1
2024-02-01 09:52:00,2024-02-01 09:54:00,CE,0.7117,0.70-0.80,POST_ORB,RANGE,09:15-10:00,120.0,Stop Loss,108.15,107.81,21747.7,-22.1,66.0,-88.1,0
2024-02-01 10:05:00,2024-02-01 10:13:00,CE,0.6642,0.60-0.70,POST_ORB,RANGE,10:00-11:00,480.0,TARGET_HIT,106.06,127.3,21749.65,1380.6,66.0,1314.6,1
2024-02-01 10:21:00,2024-02-01 10:24:00,PE,0.5866,0.50-0.60,POST_ORB,RANGE,10:00-11:00,180.0,Stop Loss,103.43,100.85,21777.6,-167.7,66.0,-233.7,0
2024-02-01 10:56:00,2024-02-01 11:02:00,CE,0.5366,0.50-0.60,POST_ORB,RANGE,10:00-11:00,360.0,TARGET_HIT,97.42,121.81,21778.05,1585.35,66.0,1519.35,1
2024-02-02 09:36:00,2024-02-02 09:41:00,CE,0.6654,0.60-0.70,POST_ORB,TREND,09:15-10:00,300.0,Stop Loss,110.67,112.04,21926.4,89.05,66.0,23.05,1
2024-02-02 09:46:00,2024-02-02 09:56:00,CE,0.767,0.70-0.80,POST_ORB,TREND,09:15-10:00,600.0,Stop Loss,109.1,111.69,21921.35,168.35,66.0,102.35,1
2024-02-02 14:33:00,2024-02-02 14:36:00,PE,0.6463,0.60-0.70,POST_ORB,RANGE,14:00-15:00,180.0,Stop Loss,44.71,32.65,21868.2,-783.9,66.0,-849.9,0
2024-02-02 15:12:00,2024-02-02 15:15:00,PE,0.5484,0.50-0.60,POST_ORB,RANGE,15:00+,180.0,EOD,25.34,25.93,21857.9,38.35,66.0,-27.65,1
2024-02-05 10:05:00,2024-02-05 10:09:00,CE,0.6165,0.60-0.70,POST_ORB,TREND,10:00-11:00,240.0,Stop Loss,106.06,108.81,21936.6,178.75,66.0,112.75,1
2024-02-05 10:18:00,2024-02-05 10:19:00,CE,0.7532,0.70-0.80,POST_ORB,RANGE,10:00-11:00,60.0,Stop Loss,103.93,93.91,21881.15,-651.3,66.0,-717.3,0
2024-02-05 10:24:00,2024-02-05 10:26:00,CE,0.8267,0.80+,POST_ORB,TREND,10:00-11:00,120.0,Stop Loss,102.93,102.99,21877.45,3.9,66.0,-62.1,1
2024-02-05 10:31:00,2024-02-05 10:39:00,CE,0.7007,0.70-0.80,POST_ORB,TREND,10:00-11:00,480.0,Stop Loss,101.75,106.09,21871.5,282.1,66.0,216.1,1
2024-02-05 14:33:00,2024-02-05 14:38:00,PE,0.67,0.60-0.70,POST_ORB,TREND,14:00-15:00,300.0,TARGET_HIT,44.71,67.45,21856.9,1478.1,66.0,1412.1,1
2024-02-05 14:44:00,2024-02-05 14:46:00,PE,0.7406,0.70-0.80,POST_ORB,TREND,14:00-15:00,120.0,Stop Loss,40.21,53.97,21776.6,894.4,66.0,828.4,1
