fold,target,model,status,train_rows,calibration_rows,test_rows,train_date_min,train_date_max,calibration_date_min,calibration_date_max,test_date_min,test_date_max,auc,average_precision,pr_auc,brier,ece,target_rate,prob_mean,prob_std,prob_p05,prob_p50,prob_p95,threshold,precision,recall,trade_count,selected_positives,expectancy,profit_factor,max_drawdown,net_pnl,train_max_index,inner_train_max_index,inner_cal_min_index,inner_cal_max_index,test_min_index,nominal_train_end_index,required_purge_bars,required_embargo_bars,actual_gap_bars,passed
3,target_hit_ce,lgbm,ok,161378,40344,75867,2021-01-01T09:29:00,2022-09-29T09:46:00,2022-09-29T09:47:00,2023-03-06T12:25:00,2023-03-06T12:50:00,2024-01-02T13:59:00,0.6704739994273624,0.36657634612598144,0.36657634612598144,0.1532563113432301,0.014559371928671414,0.20858871446083277,0.2127634631749696,0.12671099628442514,0.08993399339933994,0.16619452313503305,0.4827586206896552,0.5977564102564102,0.6042230644288035,0.07052132701421801,1847,1116,261.80420952896503,2.2242068596893723,-51022.49999999936,483552.37499999837,201721,161377,161378,201721,201746,201734,12,12,24,True
3,target_hit_pe,lgbm,ok,161378,40344,75867,2021-01-01T09:29:00,2022-09-29T09:46:00,2022-09-29T09:47:00,2023-03-06T12:25:00,2023-03-06T12:50:00,2024-01-02T13:59:00,0.6420785208058684,0.30956737121084527,0.30956737121084527,0.1598291642164412,0.04541565720328063,0.20792966638986649,0.2533453235931471,0.10676760272665124,0.13372093023255813,0.2089086859688196,0.4861111111111111,0.5013927576601673,0.40053262316910787,0.09534072900158479,3755,1504,-32.969440745671896,0.782333584097552,-172816.12499999758,-123800.24999999796,201721,161377,161378,201721,201746,201734,12,12,24,True
3,stop_hit_ce,lgbm,ok,161378,40344,75867,2021-01-01T09:29:00,2022-09-29T09:46:00,2022-09-29T09:47:00,2023-03-06T12:25:00,2023-03-06T12:50:00,2024-01-02T13:59:00,0.7542512368569398,0.14465335890944278,0.14465335890944278,0.0492443888480339,0.020304165475591187,0.053290627018334716,0.07359479249392589,0.08357964189848305,0.010835913312693499,0.041767554479418885,0.30625,0.3163808397397989,0.21393607831845668,0.1837744249319812,3473,743,3.113806507341777,1.0169027293001909,-116245.87500000166,10814.249999997992,201721,161377,161378,201721,201746,201734,12,12,24,True
3,stop_hit_pe,lgbm,ok,161378,40344,75867,2021-01-01T09:29:00,2022-09-29T09:46:00,2022-09-29T09:47:00,2023-03-06T12:25:00,2023-03-06T12:50:00,2024-01-02T13:59:00,0.8199939988010085,0.28605673812960214,0.28605673812960214,0.040057235917321674,0.008378409945179889,0.04979767224221335,0.0581636674820862,0.09651628093011531,0.013750731421884143,0.013750731421884143,0.23055555555555557,0.47797716150081565,0.4887300714678395,0.23530968766543145,1819,889,-73.4146509070914,0.7985874937714336,-161186.9999999989,-133541.24999999924,201721,161377,161378,201721,201746,201734,12,12,24,True
4,directional_ce,lgbm,ok,222072,55517,75867,2021-01-01T09:29:00,2023-05-29T14:05:00,2023-05-29T14:06:00,2024-01-02T13:35:00,2024-01-02T14:00:00,2024-10-28T12:32:00,0.6455613938614746,0.4352644184160018,0.4352644184160018,0.2105643792330696,0.03461128786759152,0.33111893181488655,0.29817639919877603,0.12073352427513799,0.12987666750566323,0.26926333615580017,0.5093023255813951,0.5093023255813951,0.5058934464875059,0.0854265355678516,4242,2146,125.21251768034028,1.6118558177328028,-72847.12499999956,531151.5000000035,277588,222071,222072,277588,277613,277601,12,12,24,True
4,directional_pe,lgbm,ok,222072,55517,75867,2021-01-01T09:29:00,2023-05-29T14:05:00,2023-05-29T14:06:00,2024-01-02T13:35:00,2024-01-02T14:00:00,2024-10-28T12:32:00,0.6161843447162155,0.40454938323280915,0.40454938323280915,0.21562023734932512,0.05219718940147339,0.3294844925988902,0.27743612395655576,0.07528059807058471,0.1484213632339923,0.27497425334706493,0.3866513233601841,0.4,0.4451114922813036,0.02076249149897988,1166,519,16.829009433961314,1.076216097331478,-47379.00000000069,19622.62499999889,277588,222071,222072,277588,277613,277601,12,12,24,True
4,quality_profitable_ce,lgbm,ok,222072,55517,75867,2021-01-01T09:29:00,2023-05-29T14:05:00,2023-05-29T14:06:00,2024-01-02T13:35:00,2024-01-02T14:00:00,2024-10-28T12:32:00,0.5894848445209354,0.4336443894578296,0.4336443894578296,0.22935450537846683,0.04714330515642191,0.3664439084186801,0.31965537813728584,0.0778627211207099,0.20651310563939634,0.30434782608695654,0.47140039447731746,0.47140039447731746,0.5054015969938939,0.07740728750764361,4258,2152,119.06135509628969,1.5294150127448702,-126797.99999999968,506963.2500000015,277588,222071,222072,277588,277613,277601,12,12,24,True
4,quality_profitable_pe,lgbm,ok,222072,55517,75867,2021-01-01T09:29:00,2023-05-29T14:05:00,2023-05-29T14:06:00,2024-01-02T13:35:00,2024-01-02T14:00:00,2024-10-28T12:32:00,0.5539669464292019,0.38775440094665536,0.38775440094665536,0.2297716454026185,0.04830757991581498,0.35674272081405617,0.30964274171316875,0.046193998065689565,0.24509609669110363,0.3042381432896066,0.382699868938401,0.39080459770114945,0.4053862508858965,0.04226861259929798,2822,1144,-25.80443834160341,0.8920164688689594,-130374.00000000189,-72820.12500000483,277588,222071,222072,277588,277613,277601,12,12,24,True
4,target_hit_ce,lgbm,ok,222072,55517,75867,2021-01-01T09:29:00,2023-05-29T14:05:00,2023-05-29T14:06:00,2024-01-02T13:35:00,2024-01-02T14:00:00,2024-10-28T12:32:00,0.6672162050493661,0.48495088610104486,0.48495088610104486,0.2108526610029962,0.040792175994528904,0.34644838994556265,0.3057782242894839,0.1313649742637696,0.13846153846153847,0.29280910501810664,0.5709779179810726,0.5709779179810726,0.6052725968436155,0.12840511337695937,5576,3375,132.54461083213826,1.590122378119679,-136780.12499999948,739068.7500000029,277588,222071,222072,277588,277613,277601,12,12,24,True
4,target_hit_pe,lgbm,ok,222072,55517,75867,2021-01-01T09:29:00,2023-05-29T14:05:00,2023-05-29T14:06:00,2024-01-02T13:35:00,2024-01-02T14:00:00,2024-10-28T12:32:00,0.63769325920035,0.44054397426066644,0.44054397426066644,0.21888678978458087,0.061778707614731324,0.3452621034178233,0.28352704356524877,0.08130210132351777,0.15223688445445768,0.3016924208977189,0.4037639007698888,0.397037037037037,0.47881455860388333,0.23253416813010613,12721,6091,11.051489662761826,1.049261878625528,-195672.00000000044,140585.9999999932,277588,222071,222072,277588,277613,277601,12,12,24,True
