entry_filter,confidence_threshold,risk_multiplier,reward_points,stop_points,trailing_stop,partial_exit_fraction,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,avg_winner,avg_loser,meets_min_trades
confidence_threshold,0.43108233117483813,1.25,22.5,30.0,True,0.0,32080,7607934.375000004,6.046496674278272,0.5910536159600998,237.155061564838,-9742.5,480.7500593323138,-114.91481820260682,True
confidence_threshold,0.43108233117483813,1.25,22.5,22.5,True,0.0,32080,7493664.000000005,5.970698824430754,0.5910536159600998,233.59301745635923,-9742.5,474.72345867833997,-114.91481820260682,True
confidence_threshold,0.43108233117483813,1.25,22.5,30.0,True,0.5,32080,7304022.337500003,5.7835791295648225,0.5751558603491271,227.68149431109737,-10476.712500000838,478.6145567990896,-112.0327867048205,True
confidence_threshold,0.43108233117483813,1.25,18.75,30.0,True,0.0,32080,7276434.000000004,5.826605773870829,0.5910536159600998,226.82150872817968,-8063.25,463.26678445229703,-114.91481820260682,True
confidence_threshold,0.43108233117483813,1.25,22.5,15.0,True,0.0,32080,7276209.375000004,5.82645677556727,0.5910536159600998,226.81450670199513,-9742.5,463.2549377669956,-114.91481820260682,True
confidence_threshold,0.43108233117483813,1.25,22.5,22.5,True,0.5,32080,7246887.150000003,5.74615992712269,0.5751558603491271,225.90047225685797,-10476.712500000838,475.51796650588057,-112.0327867048205,True
confidence_threshold,0.43108233117483813,1.25,18.75,22.5,True,0.0,32080,7146813.000000005,5.7406255441298715,0.5910536159600998,222.7809538653368,-8063.25,456.43059437793386,-114.91481820260682,True
confidence_threshold,0.43108233117483813,1.25,22.5,15.0,True,0.5,32080,7138159.837500003,5.674951806602801,0.5751558603491271,222.5112168796759,-10476.712500000838,469.6252066283672,-112.0327867048205,True
none,0.0,1.25,11.25,30.0,True,0.5,66692,6936821.231250006,2.7898151641988855,0.49350746716247823,104.01279360717936,-24948.35624999873,328.51883944034273,-114.73753904052799,True
confidence_threshold,0.43108233117483813,1.25,18.75,15.0,True,0.0,32080,6902345.718750005,5.578465454283148,0.5910536159600998,215.16040270417722,-8063.25,443.53743044934356,-114.91481820260682,True
confidence_threshold,0.43108233117483813,1.25,18.75,30.0,True,0.5,32080,6883640.831250004,5.508261214745738,0.5751558603491271,214.57733264495025,-8329.706250002142,455.8308861985801,-112.0327867048205,True
none,0.0,1.25,11.25,22.5,True,0.5,66692,6831137.981250007,2.762547129295565,0.49350746716247823,102.4281470228814,-24948.35624999873,325.30785138091335,-114.73753904052799,True
confidence_threshold,0.43108233117483813,1.25,18.75,22.5,True,0.5,32080,6818830.3312500045,5.465815266355775,0.5751558603491271,212.55705521352883,-8329.706250002142,452.3183123543441,-112.0327867048205,True
confidence_threshold,0.43108233117483813,1.25,18.75,15.0,True,0.5,32080,6696596.6906250045,5.385761528126846,0.5751558603491271,208.74677963294903,-8329.706250002142,445.6935418473255,-112.0327867048205,True
confidence_threshold,0.43108233117483813,1.25,15.0,30.0,True,0.0,32080,6680857.500000006,5.431547841141448,0.5910536159600998,208.2561564837907,-7540.5,431.8561784715998,-114.91481820260682,True
none,0.0,1.25,11.25,15.0,True,0.5,66692,6632977.340625007,2.711418390682522,0.49350746716247823,99.45686650010506,-24948.35624999873,319.28711062118316,-114.73753904052799,True
